transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category_primary,personal_finance_category_detailed,pending,iso_currency_code
TXN00000021,ACC-CUST000171-CHECKING-2,2024-01-03,7.82,Lyft #131,MERCH000131,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000022,ACC-CUST000190-CHECKING-1,2024-01-03,33.59,Taxi #183,MERCH000183,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000023,ACC-CUST000198-CREDIT_CARD-2,2024-01-03,56.38,Lowe's #001,MERCH000001,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000024,ACC-CUST000191-CHECKING-1,2024-01-03,38.05,Lowe's #023,MERCH000023,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000025,ACC-CUST000002-CHECKING-1,2024-01-03,-4.49,Etsy #195,MERCH000195,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000026,ACC-CUST000013-CHECKING-1,2024-01-04,144.0,Merchant #190,MERCH000190,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000027,ACC-CUST000031-CHECKING-1,2024-01-04,661.1,Internet Provider #115,MERCH000115,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000028,ACC-CUST000071-CHECKING-1,2024-01-04,20.58,Safeway #162,MERCH000162,other,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000029,ACC-CUST000159-CHECKING-1,2024-01-04,17.64,Medical Center #145,MERCH000145,other,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000030,ACC-CUST000175-CHECKING-1,2024-01-04,-2.29,Exxon #048,MERCH000048,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000031,ACC-CUST000035-CHECKING-1,2024-01-04,-10.41,Lowe's #091,MERCH000091,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000032,ACC-CUST000132-CREDIT_CARD-2,2024-01-04,7.19,Electric Company #053,MERCH000053,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000033,ACC-CUST000183-CREDIT_CARD-1,2024-01-04,18.8,Shopify #061,MERCH000061,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000034,ACC-CUST000105-CHECKING-1,2024-01-04,90.26,Online Store #103,MERCH000103,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000035,ACC-CUST000022-CHECKING-1,2024-01-04,6.83,Target #102,MERCH000102,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000036,ACC-CUST000104-CHECKING-1,2024-01-04,7.63,Starbucks #139,MERCH000139,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000037,ACC-CUST000076-CHECKING-1,2024-01-04,40.73,Amazon #143,MERCH000143,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000038,ACC-CUST000127-CHECKING-1,2024-01-04,25.64,McDonald's #090,MERCH000090,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000039,ACC-CUST000096-CREDIT_CARD-2,2024-01-04,138.1,Safeway #118,MERCH000118,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000040,ACC-CUST000005-CREDIT_CARD-1,2024-01-04,23.52,Merchant #139,MERCH000139,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000041,ACC-CUST000198-CHECKING-1,2024-01-05,27.51,76 #135,MERCH000135,other,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000042,ACC-CUST000118-CHECKING-1,2024-01-05,229.55,Walmart #047,MERCH000047,other,GENERAL_MERCHANDISE,GROCERIES,True,USD
TXN00000043,ACC-CUST000106-CREDIT_CARD-2,2024-01-05,36.47,General Store #136,MERCH000136,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000044,ACC-CUST000191-CHECKING-1,2024-01-05,210.95,Uber #005,MERCH000005,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000045,ACC-CUST000032-CREDIT_CARD-1,2024-01-05,21.76,Uber #087,MERCH000087,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000046,ACC-CUST000036-CREDIT_CARD-2,2024-01-05,14.57,Uber #194,MERCH000194,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000047,ACC-CUST000153-CREDIT_CARD-2,2024-01-05,11.31,Internet Provider #091,MERCH000091,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000048,ACC-CUST000051-CHECKING-1,2024-01-05,6.32,Internet Provider #063,MERCH000063,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000049,ACC-CUST000153-CREDIT_CARD-2,2024-01-05,20.32,McDonald's #021,MERCH000021,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000050,ACC-CUST000054-CREDIT_CARD-2,2024-01-06,5.62,Walgreens #199,MERCH000199,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000051,ACC-CUST000013-CHECKING-1,2024-01-06,27.29,Gas Company #119,MERCH000119,other,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000052,ACC-CUST000113-CHECKING-1,2024-01-06,75.26,eBay #121,MERCH000121,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000053,ACC-CUST000037-CREDIT_CARD-1,2024-01-06,89.12,Home Depot #102,MERCH000102,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000054,ACC-CUST000148-CHECKING-1,2024-01-06,22.47,Bus Line #090,MERCH000090,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000055,ACC-CUST000135-CREDIT_CARD-2,2024-01-06,16.59,Etsy #140,MERCH000140,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000056,ACC-CUST000186-CHECKING-1,2024-01-06,30.53,Movie Theater #112,MERCH000112,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000057,ACC-CUST000152-CHECKING-1,2024-01-06,34.13,Walmart #139,MERCH000139,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000058,ACC-CUST000034-CHECKING-1,2024-01-06,19.56,Starbucks #182,MERCH000182,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000059,ACC-CUST000153-CREDIT_CARD-2,2024-01-06,52.64,Internet Provider #138,MERCH000138,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000060,ACC-CUST000135-CHECKING-1,2024-01-06,23.91,Pizza Hut #119,MERCH000119,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000061,ACC-CUST000142-CHECKING-1,2024-01-06,128.53,Water Utility #016,MERCH000016,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000062,ACC-CUST000160-CREDIT_CARD-2,2024-01-06,43.43,Water Utility #143,MERCH000143,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000063,ACC-CUST000126-CREDIT_CARD-1,2024-01-06,8.02,Whole Foods #186,MERCH000186,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000064,ACC-CUST000105-CHECKING-1,2024-01-06,278.92,General Store #119,MERCH000119,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000065,ACC-CUST000135-CHECKING-1,2024-01-07,32.74,Vendor #084,MERCH000084,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000066,ACC-CUST000058-CREDIT_CARD-2,2024-01-07,22.93,Exxon #132,MERCH000132,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000067,ACC-CUST000035-CHECKING-1,2024-01-07,59.3,Mobil #022,MERCH000022,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000068,ACC-CUST000132-CREDIT_CARD-2,2024-01-07,10.41,Spotify #163,MERCH000163,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000069,ACC-CUST000045-CREDIT_CARD-1,2024-01-07,6.86,Shell #142,MERCH000142,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000070,ACC-CUST000016-CHECKING-1,2024-01-07,57.78,Medical Center #094,MERCH000094,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000071,ACC-CUST000001-CREDIT_CARD-1,2024-01-07,104.23,Online Store #031,MERCH000031,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000072,ACC-CUST000132-CHECKING-1,2024-01-07,126.94,Concert Hall #070,MERCH000070,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000073,ACC-CUST000075-CREDIT_CARD-2,2024-01-08,74.13,Movie Theater #091,MERCH000091,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000074,ACC-CUST000148-CHECKING-1,2024-01-08,-2.38,Lyft #128,MERCH000128,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000075,ACC-CUST000076-CHECKING-1,2024-01-08,58.49,Business #011,MERCH000011,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000076,ACC-CUST000108-CHECKING-1,2024-01-08,17.15,Chevron #036,MERCH000036,other,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000077,ACC-CUST000087-CREDIT_CARD-1,2024-01-08,92.54,Walgreens #080,MERCH000080,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000078,ACC-CUST000140-CHECKING-1,2024-01-08,54.28,Water Utility #024,MERCH000024,other,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000079,ACC-CUST000073-CREDIT_CARD-2,2024-01-08,310.25,Netflix #168,MERCH000168,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000080,ACC-CUST000193-CHECKING-2,2024-01-08,17.85,Safeway #113,MERCH000113,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000081,ACC-CUST000189-CHECKING-2,2024-01-08,10.68,Lowe's #042,MERCH000042,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000082,ACC-CUST000165-CREDIT_CARD-1,2024-01-08,287.72,Etsy #021,MERCH000021,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000083,ACC-CUST000184-CHECKING-2,2024-01-08,33.99,Chipotle #096,MERCH000096,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000084,ACC-CUST000099-CREDIT_CARD-1,2024-01-08,96.05,Safeway #051,MERCH000051,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000085,ACC-CUST000117-CREDIT_CARD-2,2024-01-08,31.03,Subway #081,MERCH000081,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000086,ACC-CUST000146-CREDIT_CARD-2,2024-01-08,324.88,Lyft #055,MERCH000055,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000087,ACC-CUST000144-CHECKING-1,2024-01-08,129.05,Merchant #124,MERCH000124,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000088,ACC-CUST000175-CHECKING-1,2024-01-08,28.22,Netflix #132,MERCH000132,other,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000089,ACC-CUST000146-CREDIT_CARD-2,2024-01-08,33.8,Merchant #062,MERCH000062,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000090,ACC-CUST000200-CHECKING-1,2024-01-08,92.65,Taco Bell #087,MERCH000087,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000091,ACC-CUST000071-CREDIT_CARD-2,2024-01-08,23.03,Clinic #153,MERCH000153,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000092,ACC-CUST000161-CREDIT_CARD-1,2024-01-08,50.48,Bus Line #198,MERCH000198,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000093,ACC-CUST000145-CHECKING-1,2024-01-09,18.95,Amazon #142,MERCH000142,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000094,ACC-CUST000143-CHECKING-1,2024-01-09,86.12,General Store #041,MERCH000041,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000095,ACC-CUST000070-CREDIT_CARD-2,2024-01-09,14.66,Water Utility #185,MERCH000185,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000096,ACC-CUST000152-CREDIT_CARD-2,2024-01-09,28.5,BP #166,MERCH000166,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000097,ACC-CUST000177-CHECKING-1,2024-01-09,-14.99,Spotify #190,MERCH000190,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000098,ACC-CUST000041-CREDIT_CARD-1,2024-01-09,35.72,Shell #041,MERCH000041,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000099,ACC-CUST000133-CREDIT_CARD-2,2024-01-09,167.55,Business #045,MERCH000045,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000100,ACC-CUST000082-CHECKING-1,2024-01-09,99.03,Chevron #126,MERCH000126,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000101,ACC-CUST000198-CHECKING-1,2024-01-09,18.68,Hospital #096,MERCH000096,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000102,ACC-CUST000106-CHECKING-1,2024-01-09,31.44,Movie Theater #144,MERCH000144,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000103,ACC-CUST000045-CHECKING-2,2024-01-10,-15.76,Metro Transit #019,MERCH000019,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000104,ACC-CUST000080-CREDIT_CARD-1,2024-01-10,17.35,Target #037,MERCH000037,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000105,ACC-CUST000140-CHECKING-1,2024-01-10,285.15,Home Depot #085,MERCH000085,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000106,ACC-CUST000016-CREDIT_CARD-2,2024-01-10,-13.18,Metro Transit #189,MERCH000189,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000107,ACC-CUST000132-CHECKING-1,2024-01-10,20.96,Internet Provider #026,MERCH000026,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000108,ACC-CUST000187-CHECKING-2,2024-01-10,191.4,Etsy #094,MERCH000094,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,True,USD
TXN00000109,ACC-CUST000168-CHECKING-2,2024-01-10,87.27,McDonald's #104,MERCH000104,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000110,ACC-CUST000015-CHECKING-1,2024-01-10,52.88,Concert Hall #192,MERCH000192,other,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000111,ACC-CUST000198-CHECKING-1,2024-01-10,70.85,Walmart #125,MERCH000125,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000112,ACC-CUST000145-CREDIT_CARD-2,2024-01-10,26.06,Internet Provider #141,MERCH000141,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000113,ACC-CUST000032-CHECKING-2,2024-01-10,27.86,Medical Center #091,MERCH000091,other,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000114,ACC-CUST000003-CHECKING-1,2024-01-10,27.5,Amazon #087,MERCH000087,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000115,ACC-CUST000034-CHECKING-1,2024-01-10,2.91,Etsy #162,MERCH000162,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000116,ACC-CUST000162-CREDIT_CARD-2,2024-01-10,7.97,Electric Company #123,MERCH000123,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000117,ACC-CUST000008-CREDIT_CARD-1,2024-01-10,23.91,Amazon #098,MERCH000098,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000118,ACC-CUST000045-CREDIT_CARD-1,2024-01-10,-28.08,Service #023,MERCH000023,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,True,USD
TXN00000119,ACC-CUST000148-CREDIT_CARD-2,2024-01-11,38.61,Walmart #108,MERCH000108,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000120,ACC-CUST000129-CHECKING-1,2024-01-11,-7.71,Kroger #148,MERCH000148,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000121,ACC-CUST000151-CREDIT_CARD-1,2024-01-11,9.94,Concert Hall #054,MERCH000054,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000122,ACC-CUST000147-CREDIT_CARD-2,2024-01-11,197.71,Walgreens #186,MERCH000186,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000123,ACC-CUST000013-CHECKING-1,2024-01-11,180.25,Target #059,MERCH000059,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000124,ACC-CUST000175-CHECKING-1,2024-01-11,46.15,Merchant #148,MERCH000148,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000125,ACC-CUST000044-CHECKING-1,2024-01-12,16.67,Walmart #039,MERCH000039,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000126,ACC-CUST000120-CHECKING-1,2024-01-12,17.56,Online Store #078,MERCH000078,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000127,ACC-CUST000136-CREDIT_CARD-1,2024-01-12,40.37,Movie Theater #091,MERCH000091,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000128,ACC-CUST000034-CREDIT_CARD-2,2024-01-12,861.88,76 #160,MERCH000160,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000129,ACC-CUST000197-CREDIT_CARD-2,2024-01-12,30.12,CVS Pharmacy #169,MERCH000169,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000130,ACC-CUST000109-CHECKING-2,2024-01-12,6.81,Safeway #069,MERCH000069,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000131,ACC-CUST000014-CREDIT_CARD-2,2024-01-12,220.38,Theme Park #068,MERCH000068,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000132,ACC-CUST000189-CHECKING-2,2024-01-12,-14.58,Netflix #087,MERCH000087,other,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000133,ACC-CUST000129-CREDIT_CARD-2,2024-01-12,515.2,Metro Transit #021,MERCH000021,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000134,ACC-CUST000145-CHECKING-1,2024-01-12,61.92,Etsy #152,MERCH000152,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000135,ACC-CUST000116-CHECKING-1,2024-01-13,75.33,Medical Center #144,MERCH000144,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000136,ACC-CUST000161-CHECKING-2,2024-01-13,87.0,CVS Pharmacy #032,MERCH000032,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000137,ACC-CUST000013-CHECKING-1,2024-01-13,37.27,Pizza Hut #154,MERCH000154,other,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000138,ACC-CUST000052-CHECKING-2,2024-01-13,24.76,eBay #003,MERCH000003,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000139,ACC-CUST000105-CHECKING-1,2024-01-13,19.48,Electric Company #082,MERCH000082,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000140,ACC-CUST000016-CHECKING-1,2024-01-13,-4.05,Taco Bell #121,MERCH000121,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000141,ACC-CUST000146-CHECKING-1,2024-01-13,-5.89,Gas Company #116,MERCH000116,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000142,ACC-CUST000082-CHECKING-1,2024-01-13,56.84,Walgreens #135,MERCH000135,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000143,ACC-CUST000054-CREDIT_CARD-2,2024-01-14,6.99,Bus Line #088,MERCH000088,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000144,ACC-CUST000001-CHECKING-2,2024-01-14,19.38,Vendor #144,MERCH000144,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000145,ACC-CUST000146-CREDIT_CARD-2,2024-01-14,32.25,Clinic #053,MERCH000053,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000146,ACC-CUST000161-CREDIT_CARD-1,2024-01-14,59.51,Walmart #004,MERCH000004,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000147,ACC-CUST000083-CHECKING-1,2024-01-14,8.16,Lyft #173,MERCH000173,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000148,ACC-CUST000123-CREDIT_CARD-2,2024-01-14,67.12,CVS Pharmacy #032,MERCH000032,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000149,ACC-CUST000044-CREDIT_CARD-2,2024-01-14,19.31,General Store #083,MERCH000083,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000150,ACC-CUST000133-CREDIT_CARD-2,2024-01-14,42.45,Pizza Hut #102,MERCH000102,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000151,ACC-CUST000003-CHECKING-1,2024-01-14,100.93,General Store #058,MERCH000058,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000152,ACC-CUST000109-CHECKING-2,2024-01-14,9.71,Chevron #013,MERCH000013,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000153,ACC-CUST000136-CHECKING-2,2024-01-14,42.17,Target #150,MERCH000150,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000154,ACC-CUST000183-CHECKING-2,2024-01-14,27.51,Walmart #044,MERCH000044,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000155,ACC-CUST000078-CHECKING-2,2024-01-15,22.76,Merchant #172,MERCH000172,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000156,ACC-CUST000149-CREDIT_CARD-2,2024-01-15,14.84,Netflix #030,MERCH000030,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000157,ACC-CUST000131-CREDIT_CARD-1,2024-01-15,16.32,Walmart #151,MERCH000151,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000158,ACC-CUST000186-CHECKING-1,2024-01-15,34.04,Online Store #012,MERCH000012,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000159,ACC-CUST000085-CREDIT_CARD-1,2024-01-15,26.96,Theme Park #014,MERCH000014,online,ENTERTAINMENT,ENTERTAINMENT,True,USD
TXN00000160,ACC-CUST000068-CREDIT_CARD-2,2024-01-15,21.61,CVS Pharmacy #036,MERCH000036,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000161,ACC-CUST000175-CHECKING-1,2024-01-15,-5.54,Theme Park #045,MERCH000045,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000162,ACC-CUST000013-CHECKING-1,2024-01-15,74.33,Target #200,MERCH000200,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000163,ACC-CUST000028-CREDIT_CARD-1,2024-01-15,7.18,Safeway #024,MERCH000024,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000164,ACC-CUST000017-CHECKING-1,2024-01-15,-3.95,Netflix #119,MERCH000119,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000165,ACC-CUST000163-CHECKING-2,2024-01-15,12.81,Electric Company #131,MERCH000131,other,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000166,ACC-CUST000002-CHECKING-1,2024-01-15,24.48,Online Store #078,MERCH000078,other,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000167,ACC-CUST000170-CHECKING-1,2024-01-15,11.87,Concert Hall #179,MERCH000179,other,ENTERTAINMENT,ENTERTAINMENT,False,USD
